url,tipo,descripcion,servicios,datos_contacto,sede
,"         Fútbol 5, 6, 7, 8 y 11","        Contacto: Matias  Jugá los grandes torneos del mundo.Web(estadísticas, fotos, videos, radio)     ","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    ,    Estacionamiento", Tel.: 4958-7001 Web: www.fatye.com.ar,2 Sedes:  - Sede Almagro: Campus Sport Arena - Sede San Telmo: San Telmo 
,"         Fútbol 5, 6, 8, 9, 10 y 11","        Desde 2008. Organizacion de eventos deportivos  Propuestas. Fútbol masculino,Femenino,seniors y juveniles.  Formatos: F5/F6/F8/F11    Sedes: Floresta,Villa Luro,Caballito,Nuñez,Saavedra,Bajo Flores,Vicente Lopez.    Servicios:  Vestuarios, estacionamiento, Buffet, Parrillas, Área Protegida, Botiquín primeros auxilios (Predios), Oficina comercial, web, servicio de fotografía en predios, radio, fiesta y entrega de premios.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    Gimnasio", Tel.: 1561478974 / ID 662*2802 Web: www.campeonatosmc.com.ar,4 Sedes:  - Sede San Cristobal: Villa Luro - Sede Saavedra: Club Platense - Sede Vicente Lopez: Club Telefonos - Sede Parque Avellaneda: Alvear 
,"         Fútbol 5, 7, 9 y 11","        Disponemos de una propuesta integral, para la realización de eventos recreativos-deportivos, sustentada por la experiencia y el profesionalismo de los integrantes de nuestro equipo. La misma implica la disponibilidad de un conjunto de predios dotados de una importante infraestructura que incluyen: canchas de césped sintético de última generación, para fútbol 5, 8 y 11, con iluminación profesional, así como de canchas de césped natural, para el desarrollo de actividades de fútbol 7, 9 u 11, cuidadas a través de un permanente trabajo de mantenimiento.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    Estacionamiento,    ,    Ayuda Médica ,    Parrilla", Tel.: 4742-2524 Web: www.organizacionescantilo.com,5 Sedes:  - Sede Benavidez: Benavidez - Sede Olivos: Olivos - Sede Tortuguitas: Tortugas - Sede Nuñez: Nuñez - Sede Villa de mayo: Villa de Mayo 
,         Fútbol 5 y 6,        Contacto: Martin Rodriguez   www.facebook.com/ligalaf,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Gimnasio,    ", Tel.: 15-6518-4945 Web: http://ligalaf.blogspot.com,3 Sedes:  - Sede Palermo: Barrio Parque - Sede Almagro: Campus - Sede Abasto: Open Gallo 
,         Fútbol 5 y 8,        Premios todas las semanas para el mejor jugador.  https://www.instagram.com/urfa_torneo/,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios", Tel.: 11-3927-1444  Web: www.urfatorneos.com,1 Sedes:  - Sede Belgrano: Belgrano 
,"         Fútbol 6, 7, 8 y 11",        Tenemos canchas de césped natural y sintético. ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Seguridad,    Escuelita de Fútbol,    Ayuda Médica ,    TV,    Cumpleaños,    Estacionamiento,    Gimnasio,    Colegios", Tel.: 3527-7023 / 15-4157-8828 Web: www.torneopressing.com.ar,6 Sedes:  - Sede Ezpeleta: Complejo Cervecero - Sede Belgrano: Belgrano - Sede Bajo Flores: Bajo Flores - Sede Palermo: Palermo - Sede Nuñez: Nuñez - Sede Nuñez: Nuñez 
,"         Fútbol 5, 6 y 8",        Torneos libres Masculinos y Femeninos. Torneos exclusivos para empresas  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 4742 8741 Web: www.sportivofc.com.ar,2 Sedes:  - Sede Recoleta: El Parque Fútbol - Sede Palermo: Palermo Futbol 
,         Fútbol 7,        Torne de fútbol 7 realizado los dias domingo.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños"," Tel.: 0341- 156563365                Fútbol 7              Torne de fútbol 7 realizado los dias domingo.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños           ver todas   fotos                                      ",1 Sedes:  - Sede Rosario: Tifosi Futbol 5 
,         Fútbol 5 y 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: 2645258006               Fútbol 5 y 7            Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede San Juan: Fair Play 
,         Fútbol 5,"        El formato del torneo es todos contra todos. Donde clasifican todos para una ronda de play offs de ida y vuelta, donde el mejor ubicado el la tabla general tendrá la ventaja deportiva a la hora de enfrentar rivales de menor clasificación y en caso de empate seguirá el de mejor ubicación en la primera ronda. Este es un torneo amateur de equipos que juegan en césped sintético. Con árbitros de primer nivel.  Premios: Campeonato  1º Puesto: trofeos, juego completo de camisetas y asado.  Premios: Copa de Plata  1º Puesto: trofeos .  El goleador se gana unos botines y la valla menos vencida un par de guantes para el arquero.  Las inscripciones están abiertas. Mínimo de jugadores por equipo 6 y máximo 10  ","      Vestuarios,    Torneos,    Ayuda Médica ,    Estacionamiento,    Seguridad", Tel.: 0261- 153604011 Web: https://www.facebook.com/ligamartin.zapata?ref=tn_tnmn,1 Sedes:  - Sede Godoy Cruz: Express Futbol 5 
,         Fútbol 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: 0261-153613518 Web: www.torneowingest.com.ar,
,         Fútbol 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: 0261-5469023 Web: www.mipatio.com.ar ,
,         Fútbol 7,"        Somos el mejor Torneo de Futbol 7 de ZONA SUR de Córdoba. Av. Valparaiso 4140. Atras del Colegio San Patricio, pegado a Tejas del Sur. Para mas información comunícate con nosotros vía inbox sino al 0351 -156509677 o 3513113676 PIN:28B1ECEE.  ",," Tel.: 0351-153113676               Fútbol 7              Somos el mejor Torneo de Futbol 7 de ZONA SUR de Córdoba. Av. Valparaiso 4140. Atras del Colegio San Patricio, pegado a Tejas del Sur. Para mas información comunícate con nosotros vía inbox sino al 0351 -156509677 o 3513113676 PIN:28B1ECEE.       ",1 Sedes:  - Sede Córdoba: Predio San Patricio 
,         Fútbol 5 y 7,,      Torneos, Tel.: 0261 155197944 Web: www.torneostars.com.ar,1 Sedes:  - Sede Mendoza: Nuevo complejo La Redonda 
,         Fútbol 5,,"      Gimnasio,    Torneos", Tel.:  0342-155-547555 Web: http://www.facebook.com/troiko.complejodeportivo,1 Sedes:  - Sede Santa Fe: Troiko Complejo Deportivo 
,"         Fútbol 5, 8 y 11","        Organización de Torneos de Futbol   Futbol 5-8-11 , futbol femenino y organización de eventos deportivos en general para particulares y empresas.  Mundogol tiene mas de 20 años de trayectoria en capital federal ","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    Escuelita de Fútbol,    ", Tel.: 116730-1666 / 116730-4666 Web: www.mundogol.com.ar,5 Sedes:  - Sede Nuñez: Ciudad Fútbol - Sede Palermo: Palermo Futbol - Sede Paternal: Fútbol Urbano Paternal - Sede Saavedra: Platense Fútbol - Sede Nuñez: Fútbol Urbano 
,         Fútbol 5 y 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad"," Tel.: 154521069               Fútbol 5 y 11            Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad           ver todas                          ",1 Sedes:  - Sede Paraná: Club Don Bosco 
,"         Fútbol 5, 6 y 7",        Contacto: Fernando Bava y Diego Sinchicay  Torneos categoría libre y para gastronómicos (De tarde y madrugada)        ,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    ,    Gimnasio,    Torneos,    Parrilla,    Estacionamiento", Tel.: 1549927096/ID:154*4257 - 1535515243/ ID: 641*3819 Web: http://futbolmilenio.blogspot.com.ar/,5 Sedes:  - Sede San Cristobal: Solis Cano - Sede Abasto: Open Gallo - Sede Recoleta: El Parque Fútbol - Sede Nuñez: Nuñez - Sede Montserrat: Montserrat 
,         Fútbol 5,        Contacto: Matias Nuñez   Facebook: www.facebook.com/torneo.footwork,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños", Tel.: 3416478581  Web: www.torneofootwork.com,2 Sedes:  - Sede Rosario: Tifosi - Sede Rosario: Desafió Fútbol 5 
,         Fútbol 5 y 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0351-7696326 Web: www.facebook.com/canchas.sancarlos,1 Sedes:  - Sede Córdoba: Canchas San Carlos 
,         Fútbol 5 y 9,,"      Vestuarios,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 0351 - 4852096/157031009 Web: http://www.facebook.com/Sport360Cordoba,1 Sedes:  - Sede Córdoba: Sport 360 
,         Fútbol 5,        Categoría libre,"      Vestuarios,    Escuelita de Fútbol,    Bar / Restaurante,    Torneos,    Colegios,    Cumpleaños,    Parrilla,    Ayuda Médica "," Tel.: 11 5019 7500/ 11 6617 0128               Fútbol 5              Categoría libre           Vestuarios,    Escuelita de Fútbol,    Bar / Restaurante,    Torneos,    Colegios,    Cumpleaños,    Parrilla,    Ayuda Médica            ver todas                          ",3 Sedes:  - Sede Parque Chacabuco: Parque Chacabuco - Sede Boedo: Estrella de Boedo - Constitución 4151 - Sede Caballito: Caballito 
,         Fútbol 5 y 11,        Contacto: Diego     ,"      Vestuarios,    Torneos,    Estacionamiento,    Bar / Restaurante,    Parrilla,    Cumpleaños,    Escuelita de Fútbol,    Ayuda Médica ,    Colegios", Tel.: 1554177094/5 Web: www.torneosdelbajo.com,3 Sedes:  - Sede Ezeiza: Predio Vialidad - Sede Flores: UTN Campus - Sede Boedo: Estrella de Boedo 
,         Fútbol 5 y 6,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Ayuda Médica ,    Colegios,    Seguridad", Tel.:  15-5744-0389 / 15-3333-7904 Web: http://www.depoencuentros.com.ar,3 Sedes:  - Sede Morón: Akerman Rochi - Sede Palermo: Salguero Fútbol - Sede Haedo: Club Mariano Moreno 
,         Fútbol 11,        Torneo internacional de fútbol infantil,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 03404-460190 Web: www.valesanito.com.ar,1 Sedes:  - Sede Santa Fe: Club atlético Libertad 
,         Fútbol 5,"        En este torneo pueden participar jugadores de 7 a 13 años(la moyoria) y pueden llevar 5 jugadores de 14 a 16 años , sran en cancha de 11 en rosario , cancha todavia no alquilada ni tampoco se sabe donde ni a que hora se juega, y pueden participar hasta 16 equipos , yo ya tengo un equipo , haci que quedan 15 lugares.","      Escuelita de Fútbol,    Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad"," Tel.: 0341 - 155082355               Fútbol 5              En este torneo pueden participar jugadores de 7 a 13 años(la moyoria) y pueden llevar 5 jugadores de 14 a 16 años , sran en cancha de 11 en rosario , cancha todavia no alquilada ni tampoco se sabe donde ni a que hora se juega, y pueden participar hasta 16 equipos , yo ya tengo un equipo , haci que quedan 15 lugares.           Escuelita de Fútbol,    Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad           ver todas                          ",2 Sedes:  - Sede Rosario: Canchas A.D.I.U.R - Sede Santa Fe: Club atlético Libertad 
,         Fútbol 5,,"      Torneos,    Escuelita de Fútbol,    Estacionamiento", Tel.: 0351 -15606080 Web: http://www.facebook.com/goldeorovcp,1 Sedes:  - Sede Villa Carlos Paz: Gol de Oro 
,         Fútbol 7,         Contacto fútbol femenino:  Torneo Femenino y Masculino.,"      Vestuarios,    Bar / Restaurante", Tel.: 155003-4146 Web: www.vixen.com.ar,1 Sedes:  - Sede Del Viso: Vixen 
,"         Fútbol 5, 6, 7 y 8","        Torneos de Fútbol 5,6,7 y 8 Masculino y Femenino, sábados, domingos y días de semana en nuestra 4 sedes, Inscripción abierta todo el año!!!","      Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento,    Seguridad,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Colegios", Tel.: 1169251055 Web: www.torneosmiller.com.ar,6 Sedes:  - Sede Adrogué: La Quinta Fútbol - Sede Avellaneda: Complejo Ameghino - Sede Quilmes: La Quinta Quilmes - Sede Lomas de Zamora: Libero Futbol Lomas de Zamora - Sede Adrogué: Libero Futbol (Adrogue) - Sede Wilde: Wilcoop 
,"         Fútbol 6, 9 y 11",        Centro de Entrenamiento para futbolistas Amateurs.,      Torneos, Tel.: 1550357915 Web: www.campeonatosbalonpie.com,1 Sedes:  - Sede Floresta: Campo Cultural y Deportivo del Sindicatos Luz y Fuerza 
,"         Fútbol 6, 7 y 11",        Contacto: Gustavo  Nextel: 595*134 / 595*135.  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento", Tel.: 5235-5670 / 1549866777 Web: www.torneosdefutbolgal.com.ar,3 Sedes:  - Sede Nuñez: Nuñez - Campo Ernesto del Monte - Sede Quilmes: Quilmes - Sede San Isidro: San Isidro 
,         Fútbol 6,"        Fútbol Masculino y Femenino, canchas de césped artificial de mayor altura de fibra.   ","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Colegios,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    ,    Gimnasio", Tel.: 1535484197 Web: www.360sports.com.ar,3 Sedes:  - Sede Costanera: Parque Norte - Sede Martínez: Area Chica - Sede San Isidro: Thames Fútbol 
,         Fútbol 7 y 11,        Cancha reglamentaria para fútbol 11 y cancha reducida para fútbol 7,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 0387-156831143/4240902 Web: www.loscachorros.org.ar,1 Sedes:  - Sede Salta: Complejo Los Cachorros 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 03752 - 423328 Web: www.ligapf.com.ar,1 Sedes:  - Sede Posadas: Complejo Liga posadeña de fútbol 
,         Fútbol 5,"        Nuestro torneo cuenta con Liga Masculina y Liga Femenina, jugamos los sábados de 13:00 a 19:00 hs. Mucho fútbol y buena onda!! ",      Estacionamiento," Tel.: 03462 15565928               Fútbol 5              Nuestro torneo cuenta con Liga Masculina y Liga Femenina, jugamos los sábados de 13:00 a 19:00 hs. Mucho fútbol y buena onda!!            Estacionamiento           ver todas   fotos                                           ",1 Sedes:  - Sede Rosario: Heroes futbol 5 
,         Fútbol 5,"        Inscripción $300 por  equipo (para la compra de los premios y  tener el derecho a participar del torneo)  $ 250 por partido (con árbitro y planillero incluido)  El delegado será el capitán del equipo. Los demás integrantes del plantel pueden ser modificados durante todo el torneo.  Aceptar y respetar el reglamento    Servicios:    Arbitro y planillero en todos los partidos.  Área protegida de ayuda médica.  Estacionamiento y vigilancia. Vestuarios. Buffet. Televisores lcd. Wi-Fi  Todas las cancha de pasto sintético.  Estadísticas del torneo actualizadas todas las semanas.    Premios:    Campeón: 10 camisetas. Inscripción gratuita al siguiente torneo. Copa. Asado  Subcampeón: Trofeo, Pelota de fútsal. Bonificación de $200  en el siguiente torneo.  Tercer puesto: Trofeo, Bonificación de $ 125 en el siguiente torneo.  Premio fair play, valla menos vencida, Goleador, figura del torneo y figura de cada fecha  ","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento", Tel.: 1567328405 Web: https://www.facebook.com/Pasioonfutboleraa,1 Sedes:  - Sede Barracas: Futbol Vieytes 
,         Fútbol 5,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento,    Seguridad"," Tel.: 0299 - 155276484 / 4773581               Fútbol 5            Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento,    Seguridad           ver todas                          ",1 Sedes:  - Sede Cipolletti: Don Bosco Futbol 
,         Fútbol 5 y 8,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 0381-155713546 Web: www.ideasycompetencias.com.ar,1 Sedes:  - Sede San Miguel de Tucumán: La Frontera futbol 5 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento", Tel.: 1565825131 Web: www.torneodestudiantes.com.ar,1 Sedes:  - Sede Recoleta: El Parque Fútbol 
,         Fútbol 5,        Torneo con sedes en Trelew - Puerto Madryn - Gaiman - Rawson,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Parrilla,    Estacionamiento", Tel.: 0280-154570544 Web: www.chubutbabyfutbol.com.ar,1 Sedes:  - Sede Trelew: La Terraza fútbol 
,         Fútbol 5,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Cumpleaños", Tel.: 0299-154011850 / 15401861 Web: http://www.facebook.com/cancha.stadium,1 Sedes:  - Sede Neuquen: Chancha Stadium 
,         Fútbol 5,        Contactos: Marcelo / Pablo  Torneos abiertos y corporativos.,"      Vestuarios,    Bar / Restaurante,    Ayuda Médica ,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    Parrilla,    ", Tel.: 154158-6110 / 156452-5221 Web: www.sagasports.wordpress.com,1 Sedes:  - Sede Nueva Pompeya: Boedo 
,         Fútbol 7,,"      Vestuarios,    Torneos,    Estacionamiento", Tel.: 0351-156235808 Web: www.torneosyojuego.com.ar ,1 Sedes:  - Sede Córdoba: Club Deportivo Alas Argentinas 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Colegios,    Parrilla,    Estacionamiento,    Cumpleaños", Tel.: 0385-154842437  Web: www.vadelfutbol5.com.ar,2 Sedes:  - Sede Santiago Del Estero: VaDel FC - Sede Santiago Del Estero: VaDel La Banda 
,         Fútbol 5 y 8,        Facebook: www.facebook.com/complejosanta.maria?fref=ts,"      Vestuarios,    Torneos,    Parrilla,    Estacionamiento",,1 Sedes:  - Sede Santiago Del Estero: Complejo Santa Maria 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Cumpleaños,    Parrilla", Tel.: 03854-154044844 Web: http://www.facebook.com/lajaula.futbolcinco,1 Sedes:  - Sede Santiago Del Estero: Torneo La Jaula Futbolcinco 
,         Fútbol 5,"        Contacto.: Pablo  Nextel ID 623 3667, Nextel ID 132 834 ","      Vestuarios,    Bar / Restaurante,    Colegios,    Cumpleaños,    Ayuda Médica ,    ,    Torneos"," Tel.: 155450-1776               Fútbol 5              Contacto.: Pablo  Nextel ID 623 3667, Nextel ID 132 834            Vestuarios,    Bar / Restaurante,    Colegios,    Cumpleaños,    Ayuda Médica ,    ,    Torneos           ver todas                          ",1 Sedes:  - Sede Agronomía: Garden Club 
,         Fútbol 5 y 8,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla", Tel.: 0280 - 154204893 Web: http://barracacentral.com.ar/,1 Sedes:  - Sede Puerto Madryn: Barraca Central 
,"         Fútbol 5, 8 y 11","        Torneos y eventos deportivos para empresas, turismo y eventos publicitarios o de integración empresarial.","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad"," Tel.: 3221-0557               Fútbol 5, 8 y 11              Torneos y eventos deportivos para empresas, turismo y eventos publicitarios o de integración empresarial.           Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad           ver todas                          ",2 Sedes:  - Sede Nuñez: Munifutbol - Sede Nuñez: Obras 
